ID,X,Y,U,V
0,0.500000,0.500000,0.000000,0.000000
1,0.333333,0.500000,0.166667,0.000000
2,0.166667,0.500000,0.333333,0.000000
3,0.000000,0.500000,0.500000,0.000000
4,-0.166667,0.500000,0.666667,0.000000
5,-0.333333,0.500000,0.833333,0.000000
6,-0.500000,0.500000,1.000000,0.000000
7,0.500000,0.333333,0.000000,0.166667
8,0.333333,0.333333,0.166667,0.166667
9,0.166667,0.333333,0.333333,0.166667
10,0.000000,0.333333,0.500000,0.166667
11,-0.166667,0.333333,0.666667,0.166667
12,-0.333333,0.333333,0.833333,0.166667
13,-0.500000,0.333333,1.000000,0.166667
14,0.500000,0.166667,0.000000,0.333333
15,0.333333,0.166667,0.166667,0.333333
16,0.166667,0.166667,0.333333,0.333333
17,0.000000,0.166667,0.500000,0.333333
18,-0.166667,0.166667,0.666667,0.333333
19,-0.333333,0.166667,0.833333,0.333333
20,-0.500000,0.166667,1.000000,0.333333
21,0.500000,0.000000,0.000000,0.500000
22,0.333333,0.000000,0.166667,0.500000
23,0.166667,0.000000,0.333333,0.500000
24,0.000000,0.000000,0.500000,0.500000
25,-0.166667,0.000000,0.666667,0.500000
26,-0.333333,0.000000,0.833333,0.500000
27,-0.500000,0.000000,1.000000,0.500000
28,0.500000,-0.166667,0.000000,0.666667
29,0.333333,-0.166667,0.166667,0.666667
30,0.166667,-0.166667,0.333333,0.666667
31,0.000000,-0.166667,0.500000,0.666667
32,-0.166667,-0.166667,0.666667,0.666667
33,-0.333333,-0.166667,0.833333,0.666667
34,-0.500000,-0.166667,1.000000,0.666667
35,0.500000,-0.333333,0.000000,0.833333
36,0.333333,-0.333333,0.166667,0.833333
37,0.166667,-0.333333,0.333333,0.833333
38,0.000000,-0.333333,0.500000,0.833333
39,-0.166667,-0.333333,0.666667,0.833333
40,-0.333333,-0.333333,0.833333,0.833333
41,-0.500000,-0.333333,1.000000,0.833333
